logFC,AveExpr,t,P.Value,adj.P.Val,B
X477_.hsa.mir.320d.2,0.619949049792692,0.654476744824519,6.59098736582983,1.31953776360652e-10,3.63451629624955e-10,12.8641562648112
X472_.hsa.mir.320b.1,0.926569873392835,2.29169090618029,6.59002239329796,1.3273294009814e-10,3.63472178989674e-10,12.8583917857678
X381_.hsa.mir.3130.2,0.999373372613451,2.41974424622115,6.58598936892485,1.36038523330528e-10,3.70370777391206e-10,12.8343070265702
X791_.hsa.mir.4442,0.634701443221159,0.759413079603365,6.58202706403309,1.39364725936657e-10,3.77245896069917e-10,12.810656250035
X1864_.hsa.mir.937,0.822897353398396,1.23129882545673,6.55407849747722,1.65201390346605e-10,4.44627742018577e-10,12.6441612687995
X1258_.hsa.mir.548e,-0.707306451171404,1.96018934527644,-6.51558664042516,2.08612485539051e-10,5.5827545845962e-10,12.4158017518395
X942_.hsa.mir.4661,1.02090846954666,3.39286023268029,6.50881199966342,2.17333271390895e-10,5.78327518785942e-10,12.3757234736223
X793_.hsa.mir.4444.1,-0.446025104864498,0.721164208959135,-6.46550907949183,2.82145888771131e-10,7.46577042759566e-10,12.1203508718513
X1629_.hsa.mir.6806,0.689989234176143,1.62067179647837,6.44436377629777,3.20338689512388e-10,8.42902361789579e-10,11.9961561063122
X1859_.hsa.mir.93,-0.676561711542737,15.0514935386298,-6.39318372260123,4.34989400273385e-10,1.13822226404869e-09,11.6969360414905
X2_.hsa.let.7a.2,0.66635656833061,14.1730189521635,6.38056249019786,4.68940936627118e-10,1.22028276879211e-09,11.6234481530447
X249_.hsa.mir.192,-0.960267401940133,9.21124224648798,-6.37505464592311,4.84558384190445e-10,1.2539944997456e-09,11.5914158151363
X3_.hsa.let.7a.3,0.664390765172234,14.1778224710577,6.36409576493525,5.17162263718904e-10,1.3310569738339e-09,11.5277492014628
X1_.hsa.let.7a.1,0.662601921180064,14.1772537023317,6.35081707311911,5.59555638626568e-10,1.42550962491148e-09,11.4507262547628
X107_.hsa.mir.127,-2.04832195049982,3.93779987496394,-6.35070921546804,5.59913546939752e-10,1.42550962491148e-09,11.4501011697172
X458_.hsa.mir.3194,-0.484704080540915,0.621060367730769,-6.33083349685367,6.29842184385676e-10,1.59492295078308e-09,11.3350615327747
X844_.hsa.mir.4491,-0.674392491279661,0.84984683559375,-6.25378699644895,9.91229082242671e-10,2.49662512158448e-09,10.8919365236635
X1375_.hsa.mir.577,-1.31920038241507,2.00059296076683,-6.24113095344435,1.06744175566496e-09,2.67428227084148e-09,10.8195761221312
X270_.hsa.mir.200a,-0.808833309183612,2.53708832885817,-6.23987402833205,1.07531660597379e-09,2.67975725615691e-09,10.8123963388767
X1388_.hsa.mir.589,-0.568640717275375,7.83672160370192,-6.20905999738233,1.28716972594029e-09,3.19082600483092e-09,10.6367564118005
X1616_.hsa.mir.6793,-0.560931609904502,0.860507470086538,-6.17604149325155,1.55950057230206e-09,3.8456794217501e-09,10.4493531081756
X627_.hsa.mir.3913.2,0.714912626417532,2.15659673126442,6.16404722252035,1.6717701203565e-09,4.10106107649955e-09,10.3814830833984
X255_.hsa.mir.196a.1,-0.974493930179971,1.09543827296875,-6.13459392568752,1.98206557723662e-09,4.83706159004376e-09,10.215287133823
X494_.hsa.mir.33b,-0.692138021639148,1.658373853375,-6.10594019403503,2.33767612816378e-09,5.67549204311928e-09,10.054240588706
X167_.hsa.mir.130a,-1.7307072431899,6.68334451441827,-6.05230220359729,3.17853497380056e-09,7.6773844751798e-09,9.75446755841029
X1374_.hsa.mir.576,-0.71486126047603,4.83214186569231,-6.03642159110394,3.4798201229275e-09,8.36222080560639e-09,9.66613907435877
X1523_.hsa.mir.664a,-0.605751534367132,6.6414824590024,-5.95130759207463,5.63576955652465e-09,1.34743525945335e-08,9.19605897618501
